ID,SEM_TRATADAS,DIST_SURCOS,DIST_PLANTAS,COLOR_ENDOSPERMO,CULT_ANT,DRENAJE,POBLACION_20DIAS,TIPO_MATERIAL,ALMACENAMIENTO_FINCA,ContMalQui,ContPlaQui,CanFerQui,PENDIENTE,PH,MAT_ORGANICA,DRE_INTERN,PROF_EFEC,PText,Temp_Max_Avg_Veg,Temp_Min_Avg_Veg,Temp_Avg_Veg,Diurnal_Range_Avg_Veg,Sol_Ener_Accu_Veg,Rain_Accu_Veg,Rain_10_Freq_Veg,Temp_Min_15_Freq_Veg,Rhum_Avg_Veg,Rhum_sd_Veg,Temp_Max_Avg_For,Temp_Min_Avg_For,Temp_Avg_For,Diurnal_Range_Avg_For,Sol_Ener_Accu_For,Rain_Accu_For,Rain_10_Freq_For,Temp_Min_15_Freq_For,Rhum_Avg_For,Rhum_sd_For,Temp_Max_Avg_Mad,Temp_Min_Avg_Mad,Temp_Avg_Mad,Diurnal_Range_Avg_Mad,Sol_Ener_Accu_Mad,Rain_Accu_Mad,Rain_10_Freq_Mad,Temp_Min_15_Freq_Mad,Rhum_Avg_Mad,Rhum_sd_Mad,TotN,Totp,Totk,split,RDT
2844,SI,0.85,0.16,Amarillo,Arroz,VERDADERO,70000,OGM,NO,3,3,5,1.7,7,BAJA,LENTO A MUY LENTO,45,Ar,35.45152539,23.66856322,29.56004431,11.78296217,37381.29227,12.6,0,0,68.34803421,9.581493027,35.89893463,22.45166667,29.17530065,13.44726797,20665.37097,1.3,0,0,72.80388213,7.636137439,38.02614724,22.12307692,30.07461208,15.90307032,9710.755099,0.5,0,0,63.97915343,6.729334009,122,58,78,DK7088,6200
2845,SI,0.9,0.16,Blanco,Maiz,VERDADERO,74000,OGM,NO,3,2,6,1.7,7,BAJA,LENTO A MUY LENTO,35,A,34.62443871,24.10815897,29.36629884,10.51627974,37411.59885,13.3,0,0,69.0072866,9.524029232,35.41000667,22.95140941,29.18070804,12.45859725,21174.34437,11.5,0,0,74.17713359,6.938217607,37.46705377,22.25294118,29.85999747,15.2141126,12028.96563,0.9,0,0,65.10661237,5.572642555,178,40,40,P4082 (Pioneer),5000
2847,NO,0.85,0.16,Amarillo,Arroz,VERDADERO,77000,OGM,NO,3,2,7,1.7,6,MEDIA,BUENO,32,A,34.39215534,24.27799824,29.33507679,10.1141571,35646.43849,12.9,0,0,69.14141901,9.738136938,35.11840427,23.30664004,29.21252215,11.81176423,19989.03143,11.5,0,0,73.77883459,8.420123667,37.46618639,22.21190476,29.83904557,15.25428163,15196.27663,1,0,0,65.28540808,5.175498516,150,18,138,DK7088,6000
2850,SI,0.85,0.16,Blanco,Arroz,VERDADERO,71600,OGM,NO,2,4,6,1.8,6,MEDIA,BUENO,65,FA,34.00528578,24.65156343,29.32842461,9.353722346,36013.13849,13.3,0,0,67.88608107,9.189869011,35.10020276,24.16595484,29.6330788,10.93424793,20762.76519,11.5,0,0,68.92165494,10.18565618,36.63163453,22.275,29.45331726,14.35663453,13818.79921,0.6,0,0,69.25603919,7.991060233,138,40,80,P4082 (Pioneer),6500
2851,SI,0.85,0.16,Blanco,Arroz,VERDADERO,75000,OGM,SI,2,2,5,1.7,6,MEDIA,BUENO,66,FA,34.06970417,24.55734293,29.31352355,9.512361239,35625.12042,12.9,0,0,68.55147037,9.586535065,35.06622872,23.87044417,29.46833644,11.19578456,20354.2977,11.5,0,0,70.55534699,10.32789796,37.01955174,22.25333333,29.63644254,14.76621841,16074.14266,0.8,0,0,67.75518925,7.283214709,110,58,58,P4082 (Pioneer),4600
2852,SI,0.85,0.16,Amarillo,Arroz,VERDADERO,71600,OGM,NO,3,2,6,1.8,6,MEDIA,BUENO,34,A,36.61248185,22.48395007,29.54821596,14.12853178,35181.9818,4.6,0,0,69.90639254,8.484335449,37.66455839,22.10526316,29.88491077,15.55929523,20894.18094,1,0,0,65.4582984,7.191705717,39.70394573,23.49825454,31.60110014,16.20569119,14603.08371,0.5,0,0,56.84208189,8.439679423,138,40,80,Otro,3000
2853,SI,0.85,0.16,Amarillo,Arroz,VERDADERO,72100,OGM,NO,2,1,6,1.7,6,MEDIA,BUENO,64,AF,36.36619143,22.56769456,29.46694299,13.79849687,35111.02025,12.5,0,0,70.38028231,7.956233848,37.11718997,22.20350877,29.66034937,14.9136812,20429.02304,1,0,0,67.55860351,7.766406758,39.8503522,23.40263158,31.62649189,16.44772062,14213.93905,0.2,0,0,56.00558144,7.518971256,138,40,80,Otro,1800
2854,SI,0.85,0.16,Amarillo,Arroz,VERDADERO,75000,OGM,NO,2,2,6,1.8,6,BAJA,LENTO A MUY LENTO,30,Ar,35.59309089,23.53939537,29.56624313,12.05369552,35449.03544,12,0,0,68.75108191,9.359454598,35.92519435,22.44736842,29.18628139,13.47782593,19734.02169,1.3,0,0,72.7738233,7.860089113,38.29134671,22.33243243,30.31188957,15.95891428,13551.4728,0.6,0,0,62.51195078,6.839049479,138,40,80,Otro,3000
2855,NO,0.85,0.16,Blanco,Arroz,VERDADERO,72000,Hibrido,NO,4,2,6,1.7,7,MEDIA,BUENO,37,A,35.79370645,23.39858006,29.59614325,12.39512639,35304.14813,12.1,0,0,68.88305197,9.320746517,36.12570844,22.42631579,29.27601211,13.69939265,19629.45081,1.4,0,0,71.80002774,8.27055564,38.61524078,22.42972973,30.52248525,16.18551105,13844.79613,0.5,0,0,61.18422306,8.50226137,186,18,18,Otro,6500
2856,NO,0.85,0.16,Blanco,Arroz,VERDADERO,71100,OGM,NO,2,3,5,1.9,7,MEDIA,BUENO,40,A,34.32735799,24.32683725,29.32709762,10.00052074,35588.12226,12.9,0,0,69.18770839,9.720722874,35.09779649,23.37850155,29.23814902,11.71929494,19941.50075,11.5,0,0,73.59446345,8.605292775,37.53732952,22.13111111,29.83422031,15.40621841,16376.78381,1,0,0,65.24182371,5.116562247,132,40,40,P4082 (Pioneer),5000
